record_id,date,month,site,shift,orders_due,on_time_orders,late_orders,units_shipped,rework_orders,planned_hours,regular_hours,overtime_hours,complex_orders,standard_hours,downtime_minutes,capacity_late,rework_late,stock_late,carrier_late,other_late
20250911-N-PM,2025-09-11,2025-09,North,PM,277,255,22,1001,4,52.5,51.3,3.4,67,48.25,35,8,4,0,4,6
20250911-S-AM,2025-09-11,2025-09,South,AM,212,204,8,745,9,45.0,41.4,3.6,60,37.8,0,2,5,1,0,0
20250911-S-PM,2025-09-11,2025-09,South,PM,230,209,21,630,7,45.0,31.7,4.3,50,39.5,0,15,3,1,0,2
20250912-N-AM,2025-09-12,2025-09,North,AM,251,241,10,686,4,52.5,48.4,0.1,34,41.05,35,2,3,1,3,1
20250912-N-PM,2025-09-12,2025-09,North,PM,254,229,25,797,3,52.5,49.4,3.4,36,41.7,60,5,3,9,3,5
20250912-S-AM,2025-09-12,2025-09,South,AM,226,214,12,820,8,45.0,42.1,2.2,85,42.4,0,7,3,1,0,1
20250912-S-PM,2025-09-12,2025-09,South,PM,196,177,19,620,3,45.0,33.6,1.5,67,36.1,0,13,1,3,1,1
20250915-N-AM,2025-09-15,2025-09,North,AM,247,237,10,803,2,52.5,50.9,0.4,55,42.55,20,1,2,2,0,5
20250915-N-PM,2025-09-15,2025-09,North,PM,251,241,10,937,4,52.5,47.3,2.8,73,44.95,0,4,1,2,1,2
20250915-S-AM,2025-09-15,2025-09,South,AM,231,216,15,875,3,45.0,41.8,3.0,74,42.05,0,4,3,2,0,6
20250915-S-PM,2025-09-15,2025-09,South,PM,208,187,21,812,11,45.0,32.3,0.7,72,38.4,0,8,8,3,1,1
20250916-N-AM,2025-09-16,2025-09,North,AM,251,226,25,842,7,52.5,51.3,1.5,49,42.55,35,2,5,1,16,1
20250916-N-PM,2025-09-16,2025-09,North,PM,195,186,9,513,4,52.5,50.5,1.0,35,32.75,0,2,2,4,0,1
20250916-S-AM,2025-09-16,2025-09,South,AM,174,170,4,636,3,45.0,40.6,0.2,38,29.9,10,0,3,1,0,0
20250916-S-PM,2025-09-16,2025-09,South,PM,193,178,15,713,6,45.0,32.8,3.8,61,35.05,10,9,2,3,0,1
20250917-N-AM,2025-09-17,2025-09,North,AM,216,203,13,737,4,52.5,47.1,1.9,35,35.9,0,3,4,0,1,5
20250917-N-PM,2025-09-17,2025-09,North,PM,216,214,2,685,7,52.5,47.5,1.0,52,37.6,0,0,0,2,0,0
20250917-S-AM,2025-09-17,2025-09,South,AM,197,187,10,682,8,45.0,39.4,2.3,53,34.85,0,5,2,1,2,0
20250917-S-PM,2025-09-17,2025-09,South,PM,146,142,4,450,6,45.0,34.6,4.6,52,27.1,20,2,1,1,0,0
20250918-N-AM,2025-09-18,2025-09,North,AM,249,219,30,699,9,52.5,50.1,2.3,67,44.05,35,3,8,3,15,1
20250918-N-PM,2025-09-18,2025-09,North,PM,211,204,7,673,5,52.5,46.7,2.9,64,38.05,0,2,1,4,0,0
20250918-S-AM,2025-09-18,2025-09,South,AM,206,199,7,618,3,45.0,42.1,3.4,58,36.7,0,0,3,1,1,2
20250918-S-PM,2025-09-18,2025-09,South,PM,256,205,51,921,5,45.0,30.9,3.4,88,47.2,60,32,5,5,3,6
20250919-N-AM,2025-09-19,2025-09,North,AM,205,195,10,557,5,52.5,50.8,3.3,30,33.75,60,0,2,7,1,0
20250919-N-PM,2025-09-19,2025-09,North,PM,223,214,9,780,3,52.5,46.6,1.0,46,38.05,0,1,2,3,2,1
20250919-S-AM,2025-09-19,2025-09,South,AM,187,179,8,542,5,45.0,40.5,0,53,33.35,35,1,2,1,1,3
20250919-S-PM,2025-09-19,2025-09,South,PM,167,160,7,601,4,45.0,31.6,5.3,60,31.05,0,4,1,1,0,1
20250922-N-AM,2025-09-22,2025-09,North,AM,259,249,10,765,2,52.5,47.3,2.3,60,44.85,0,1,1,3,2,3
20250922-N-PM,2025-09-22,2025-09,North,PM,229,222,7,690,5,52.5,49.3,0.5,29,37.25,20,0,2,1,2,2
20250922-S-AM,2025-09-22,2025-09,South,AM,218,200,18,701,4,45.0,43.1,0.7,72,39.9,35,5,4,4,0,5
20250922-S-PM,2025-09-22,2025-09,South,PM,280,220,60,968,9,45.0,31.8,3.4,76,49.6,20,46,6,3,3,2
20250923-N-AM,2025-09-23,2025-09,North,AM,253,247,6,625,4,52.5,50.4,0.4,34,41.35,0,0,2,2,1,1
20250923-N-PM,2025-09-23,2025-09,North,PM,194,184,10,565,3,52.5,49.5,0,30,32.1,0,5,1,3,0,1
20250923-S-AM,2025-09-23,2025-09,South,AM,195,190,5,621,10,45.0,42.9,1.2,66,35.85,20,1,2,0,1,1
20250923-S-PM,2025-09-23,2025-09,South,PM,214,191,23,759,3,45.0,34.8,2.1,64,38.5,35,8,3,3,2,7
20250924-N-AM,2025-09-24,2025-09,North,AM,224,213,11,726,4,52.5,46.8,2.5,65,40.1,35,1,2,3,1,4
20250924-N-PM,2025-09-24,2025-09,North,PM,176,167,9,566,4,52.5,51.3,0.9,42,30.6,35,1,3,3,0,2
20250924-S-AM,2025-09-24,2025-09,South,AM,206,195,11,653,1,45.0,43.6,1.4,57,36.6,0,3,1,3,1,3
20250924-S-PM,2025-09-24,2025-09,South,PM,191,174,17,737,8,45.0,31.5,2.7,65,35.15,0,10,4,2,0,1
20250925-N-AM,2025-09-25,2025-09,North,AM,214,211,3,581,1,52.5,50.6,1.7,32,35.3,0,1,1,0,0,1
20250925-N-PM,2025-09-25,2025-09,North,PM,243,233,10,914,12,52.5,49.9,0.7,73,43.75,0,2,3,4,1,0
20250925-S-AM,2025-09-25,2025-09,South,AM,205,198,7,759,4,45.0,41.3,0.6,73,38.05,20,4,2,0,0,1
20250925-S-PM,2025-09-25,2025-09,South,PM,214,183,31,644,5,45.0,32.7,5.9,54,37.5,60,18,3,6,0,4
20250926-N-AM,2025-09-26,2025-09,North,AM,226,216,10,639,1,52.5,47.2,0.9,41,38.0,0,1,1,4,2,2
20250926-N-PM,2025-09-26,2025-09,North,PM,176,169,7,566,4,52.5,50.8,2.2,30,29.4,60,3,1,3,0,0
20250926-S-AM,2025-09-26,2025-09,South,AM,234,209,25,754,5,45.0,40.3,2.1,81,43.2,0,14,4,2,3,2
20250926-S-PM,2025-09-26,2025-09,South,PM,187,167,20,609,8,45.0,32.4,2.2,70,35.05,20,12,3,2,2,1
20250929-N-AM,2025-09-29,2025-09,North,AM,272,267,5,896,4,52.5,51.3,0.6,58,46.6,10,2,1,1,1,0
20250929-N-PM,2025-09-29,2025-09,North,PM,265,261,4,641,4,52.5,50.4,2.7,25,42.25,10,0,0,2,0,2
20250929-S-AM,2025-09-29,2025-09,South,AM,189,179,10,661,4,45.0,41.3,0.8,45,32.85,35,2,1,4,2,1
20250929-S-PM,2025-09-29,2025-09,South,PM,221,192,29,887,9,45.0,33.2,2.4,82,41.35,0,19,5,2,1,2
20250930-N-AM,2025-09-30,2025-09,North,AM,219,211,8,702,6,52.5,48.6,1.5,39,36.75,20,0,5,2,1,0
20250930-N-PM,2025-09-30,2025-09,North,PM,261,256,5,815,9,52.5,50.0,1.2,62,45.35,0,1,3,0,0,1
20250930-S-AM,2025-09-30,2025-09,South,AM,227,214,13,917,11,45.0,40.5,0,100,44.05,0,10,1,0,0,2
20250930-S-PM,2025-09-30,2025-09,South,PM,245,203,42,861,2,45.0,32.4,2.5,85,45.25,10,20,1,1,19,1
20251001-N-AM,2025-10-01,2025-10,North,AM,226,218,8,734,5,52.5,47.5,0.2,37,37.6,10,1,4,2,0,1
20251001-N-PM,2025-10-01,2025-10,North,PM,210,207,3,714,6,52.5,49.7,1.5,48,36.3,0,2,0,0,0,1
20251001-S-AM,2025-10-01,2025-10,South,AM,177,173,4,621,4,45.0,40.9,2.9,37,30.25,0,0,2,1,0,1
20251001-S-PM,2025-10-01,2025-10,South,PM,196,184,12,563,5,45.0,30.7,2.1,55,34.9,0,5,2,2,1,2
20251002-N-AM,2025-10-02,2025-10,North,AM,194,189,5,606,3,52.5,50.7,2.1,35,32.6,35,3,0,2,0,0
20251002-N-PM,2025-10-02,2025-10,North,PM,239,227,12,895,7,52.5,48.7,1.4,68,42.65,0,3,4,3,0,2
20251002-S-AM,2025-10-02,2025-10,South,AM,225,212,13,732,8,45.0,44.0,0,66,40.35,60,3,5,4,0,1
20251002-S-PM,2025-10-02,2025-10,South,PM,182,172,10,713,4,45.0,31.8,1.2,56,32.9,0,5,4,0,0,1
20251003-N-AM,2025-10-03,2025-10,North,AM,233,223,10,780,5,52.5,47.1,2.4,59,40.85,0,2,4,0,1,3
20251003-N-PM,2025-10-03,2025-10,North,PM,209,198,11,722,6,52.5,51.0,2.6,59,37.25,20,2,4,1,2,2
20251003-S-AM,2025-10-03,2025-10,South,AM,261,229,32,1062,6,45.0,40.8,1.2,101,49.25,10,19,3,5,2,3
20251003-S-PM,2025-10-03,2025-10,South,PM,190,169,21,725,5,45.0,31.5,1.8,75,36.0,0,12,5,1,3,0
20251006-N-AM,2025-10-06,2025-10,North,AM,232,219,13,637,5,52.5,47.4,0.6,39,38.7,10,1,4,8,0,0
20251006-N-PM,2025-10-06,2025-10,North,PM,264,260,4,911,6,52.5,50.3,0,52,44.8,0,1,0,1,1,1
20251006-S-AM,2025-10-06,2025-10,South,AM,280,247,33,937,13,45.0,41.1,0.5,78,49.8,0,19,10,0,1,3
20251006-S-PM,2025-10-06,2025-10,South,PM,259,210,49,785,6,45.0,32.5,4.4,69,45.75,0,34,6,4,1,4
20251007-N-AM,2025-10-07,2025-10,North,AM,266,254,12,843,5,52.5,49.3,1.1,32,43.1,0,6,4,1,0,1
20251007-N-PM,2025-10-07,2025-10,North,PM,275,261,14,872,9,52.5,47.0,1.6,93,50.55,0,6,3,2,2,1
20251007-S-AM,2025-10-07,2025-10,South,AM,163,158,5,572,5,45.0,39.4,2.3,40,28.45,0,1,2,1,0,1
20251007-S-PM,2025-10-07,2025-10,South,PM,221,200,21,642,3,45.0,31.8,1.4,63,39.45,0,12,3,3,1,2
20251008-N-AM,2025-10-08,2025-10,North,AM,206,194,12,770,7,52.5,50.6,2.9,57,36.6,35,1,6,3,1,1
20251008-N-PM,2025-10-08,2025-10,North,PM,262,252,10,690,9,52.5,49.2,0.3,38,43.1,10,1,3,1,3,2
20251008-S-AM,2025-10-08,2025-10,South,AM,215,208,7,627,2,45.0,40.9,1.2,51,37.35,0,1,0,2,1,3
20251008-S-PM,2025-10-08,2025-10,South,PM,196,183,13,540,3,45.0,32.7,4.6,45,33.9,0,4,2,6,0,1
20251009-N-AM,2025-10-09,2025-10,North,AM,234,212,22,835,6,52.5,46.7,1.7,64,41.5,60,6,6,3,3,4
20251009-N-PM,2025-10-09,2025-10,North,PM,231,219,12,605,2,52.5,49.6,3.1,29,37.55,35,2,2,2,1,5
20251009-S-AM,2025-10-09,2025-10,South,AM,218,198,20,672,9,45.0,40.7,3.1,65,39.2,20,4,7,3,2,4
20251009-S-PM,2025-10-09,2025-10,South,PM,198,164,34,650,3,45.0,30.2,2.5,80,37.7,0,23,3,5,0,3
20251010-N-AM,2025-10-10,2025-10,North,AM,257,249,8,794,3,52.5,49.9,3.5,30,41.55,10,2,2,2,1,1
20251010-N-PM,2025-10-10,2025-10,North,PM,234,222,12,878,11,52.5,48.4,2.4,60,41.1,0,0,4,3,2,3
20251010-S-AM,2025-10-10,2025-10,South,AM,206,199,7,697,6,45.0,40.6,2.5,48,35.7,0,1,1,4,0,1
20251010-S-PM,2025-10-10,2025-10,South,PM,228,197,31,853,7,45.0,32.5,2.7,64,40.6,60,18,5,4,3,1
20251013-N-AM,2025-10-13,2025-10,North,AM,243,235,8,896,6,52.5,51.4,1.6,56,42.05,20,2,1,2,2,1
20251013-N-PM,2025-10-13,2025-10,North,PM,212,206,6,555,7,52.5,50.3,2.0,26,34.4,10,1,3,1,1,0
20251013-S-AM,2025-10-13,2025-10,South,AM,245,227,18,654,7,45.0,41.2,1.2,41,40.85,35,9,5,2,0,2
20251013-S-PM,2025-10-13,2025-10,South,PM,174,155,19,542,5,45.0,31.4,2.4,50,31.1,20,6,5,2,1,5
20251014-N-AM,2025-10-14,2025-10,North,AM,260,246,14,743,4,52.5,50.6,2.5,59,44.9,0,2,2,3,2,5
20251014-N-PM,2025-10-14,2025-10,North,PM,241,227,14,749,5,52.5,49.2,1.1,46,40.75,10,2,5,1,1,5
20251014-S-AM,2025-10-14,2025-10,South,AM,266,241,25,860,12,45.0,40.5,1.6,98,49.7,20,9,8,5,1,2
20251014-S-PM,2025-10-14,2025-10,South,PM,227,193,34,860,7,45.0,31.0,2.5,72,41.25,0,18,5,9,0,2
20251015-N-AM,2025-10-15,2025-10,North,AM,238,229,9,809,2,52.5,51.3,1.2,42,39.9,10,3,1,3,0,2
20251015-N-PM,2025-10-15,2025-10,North,PM,234,224,10,789,4,52.5,47.3,1.9,66,41.7,20,1,4,2,0,3
20251015-S-AM,2025-10-15,2025-10,South,AM,229,211,18,726,5,45.0,39.7,0.7,67,41.05,20,3,5,5,2,3
20251015-S-PM,2025-10-15,2025-10,South,PM,214,191,23,777,7,45.0,31.9,3.6,66,38.7,35,16,1,3,2,1
20251016-N-AM,2025-10-16,2025-10,North,AM,182,175,7,474,3,52.5,50.2,1.2,16,28.9,0,0,1,3,1,2
20251016-N-PM,2025-10-16,2025-10,North,PM,236,229,7,690,5,52.5,47.7,0,56,41.0,0,2,2,0,1,2
20251016-S-AM,2025-10-16,2025-10,South,AM,207,182,25,811,7,45.0,43.7,3.0,75,38.55,10,1,3,2,19,0
20251016-S-PM,2025-10-16,2025-10,South,PM,233,191,42,808,8,45.0,33.0,4.0,77,42.65,35,24,7,9,0,2
20251017-N-AM,2025-10-17,2025-10,North,AM,202,193,9,536,4,52.5,48.9,2.1,22,32.5,35,0,3,2,0,4
20251017-N-PM,2025-10-17,2025-10,North,PM,220,217,3,641,5,52.5,46.9,1.7,65,39.5,35,0,2,1,0,0
20251017-S-AM,2025-10-17,2025-10,South,AM,203,188,15,766,2,45.0,41.4,2.1,69,37.35,60,3,2,6,1,3
20251017-S-PM,2025-10-17,2025-10,South,PM,218,183,35,782,8,45.0,31.0,3.6,64,39.1,0,24,6,2,0,3
20251020-N-AM,2025-10-20,2025-10,North,AM,283,257,26,810,5,52.5,49.4,1.3,59,48.35,60,11,3,6,2,4
20251020-N-PM,2025-10-20,2025-10,North,PM,219,209,10,650,5,52.5,46.9,1.7,52,38.05,35,2,4,2,0,2
20251020-S-AM,2025-10-20,2025-10,South,AM,241,223,18,699,8,45.0,41.0,3.6,59,42.05,0,3,4,2,8,1
20251020-S-PM,2025-10-20,2025-10,South,PM,199,182,17,662,5,45.0,34.3,3.9,72,37.05,10,10,0,4,1,2
20251021-N-AM,2025-10-21,2025-10,North,AM,211,201,10,692,9,52.5,46.6,2.0,44,36.05,0,1,4,3,0,2
20251021-N-PM,2025-10-21,2025-10,North,PM,278,246,32,1045,1,52.5,47.2,2.0,95,51.2,0,13,1,4,1,13
20251021-S-AM,2025-10-21,2025-10,South,AM,243,213,30,779,4,45.0,42.4,0,84,44.85,35,20,1,7,1,1
20251021-S-PM,2025-10-21,2025-10,South,PM,254,221,33,1045,9,45.0,32.6,4.6,107,48.8,35,25,2,2,2,2
20251022-N-AM,2025-10-22,2025-10,North,AM,208,200,8,547,8,52.5,47.6,0.6,36,34.8,20,3,3,0,0,2
20251022-N-PM,2025-10-22,2025-10,North,PM,223,217,6,640,4,52.5,48.7,0.7,29,36.35,0,2,1,3,0,0
20251022-S-AM,2025-10-22,2025-10,South,AM,202,195,7,777,4,45.0,41.9,3.2,63,36.6,0,2,2,1,1,1
20251022-S-PM,2025-10-22,2025-10,South,PM,207,177,30,773,8,45.0,34.7,3.9,55,36.55,20,14,8,3,0,5
20251023-N-AM,2025-10-23,2025-10,North,AM,281,256,25,991,5,52.5,47.4,3.2,54,47.55,0,9,5,4,0,7
20251023-N-PM,2025-10-23,2025-10,North,PM,297,284,13,1022,8,52.5,49.6,1.6,69,51.45,0,6,3,2,1,1
20251023-S-AM,2025-10-23,2025-10,South,AM,212,207,5,663,4,45.0,43.8,1.1,79,39.7,0,4,1,0,0,0
20251023-S-PM,2025-10-23,2025-10,South,PM,236,189,47,868,3,45.0,31.1,2.5,62,41.6,35,16,3,1,24,3
20251024-N-AM,2025-10-24,2025-10,North,AM,195,189,6,674,7,52.5,51.0,2.9,56,34.85,0,1,3,0,1,1
20251024-N-PM,2025-10-24,2025-10,North,PM,207,191,16,598,9,52.5,49.4,1.5,53,36.35,0,1,2,0,12,1
20251024-S-AM,2025-10-24,2025-10,South,AM,236,219,17,757,11,45.0,41.3,1.4,91,44.5,35,10,3,1,3,0
20251024-S-PM,2025-10-24,2025-10,South,PM,210,171,39,775,5,45.0,32.5,1.7,81,39.6,0,9,5,4,20,1
20251027-N-AM,2025-10-27,2025-10,North,AM,237,210,27,770,6,52.5,47.9,2.3,43,39.85,60,2,2,2,18,3
20251027-N-PM,2025-10-27,2025-10,North,PM,261,251,10,749,6,52.5,47.1,0,36,42.75,20,2,3,2,2,1
20251027-S-AM,2025-10-27,2025-10,South,AM,231,215,16,818,10,45.0,39.8,2.8,43,38.95,35,5,5,3,0,3
20251027-S-PM,2025-10-27,2025-10,South,PM,180,169,11,594,6,45.0,33.7,1.2,60,33.0,0,6,3,0,1,1
20251028-N-AM,2025-10-28,2025-10,North,AM,269,258,11,824,8,52.5,49.6,0,50,45.35,0,5,4,0,1,1
20251028-N-PM,2025-10-28,2025-10,North,PM,239,227,12,623,5,52.5,49.8,2.7,40,39.85,20,3,4,3,1,1
20251028-S-AM,2025-10-28,2025-10,South,AM,201,190,11,619,7,45.0,40.9,4.3,41,34.25,60,1,6,1,1,2
20251028-S-PM,2025-10-28,2025-10,South,PM,155,150,5,459,3,45.0,33.1,0,31,26.35,35,0,3,1,0,1
20251029-N-AM,2025-10-29,2025-10,North,AM,238,231,7,789,7,52.5,48.7,0.4,62,41.9,20,1,1,3,0,2
20251029-N-PM,2025-10-29,2025-10,North,PM,219,201,18,636,3,52.5,50.3,4.1,29,35.75,0,2,2,0,14,0
20251029-S-AM,2025-10-29,2025-10,South,AM,202,197,5,643,4,45.0,39.8,1.2,69,37.2,0,1,0,2,2,0
20251029-S-PM,2025-10-29,2025-10,South,PM,237,202,35,896,12,45.0,32.7,1.6,74,42.95,0,17,10,5,1,2
20251030-N-AM,2025-10-30,2025-10,North,AM,227,221,6,632,1,52.5,49.9,1.9,32,37.25,0,3,1,2,0,0
20251030-N-PM,2025-10-30,2025-10,North,PM,242,228,14,641,7,52.5,46.8,2.7,36,39.9,60,4,4,1,1,4
20251030-S-AM,2025-10-30,2025-10,South,AM,210,180,30,616,7,45.0,42.2,1.5,53,36.8,35,3,6,4,15,2
20251030-S-PM,2025-10-30,2025-10,South,PM,171,161,10,559,3,45.0,34.5,3.5,61,31.75,0,0,3,3,1,3
20251031-N-AM,2025-10-31,2025-10,North,AM,248,241,7,674,7,52.5,47.7,0.3,58,43.0,0,0,4,1,1,1
20251031-N-PM,2025-10-31,2025-10,North,PM,252,242,10,819,7,52.5,50.5,0.2,55,43.3,0,3,1,3,0,3
20251031-S-AM,2025-10-31,2025-10,South,AM,201,192,9,636,6,45.0,43.9,3.6,57,35.85,0,1,3,3,1,1
20251031-S-PM,2025-10-31,2025-10,South,PM,227,191,36,805,5,45.0,32.6,2.4,85,42.55,0,20,5,3,4,4
20251103-N-AM,2025-11-03,2025-11,North,AM,249,237,12,919,10,52.5,49.9,5.0,60,43.35,60,4,5,3,0,0
20251103-N-PM,2025-11-03,2025-11,North,PM,307,268,39,1043,9,52.5,51.1,1.5,56,51.65,60,18,9,6,2,4
20251103-S-AM,2025-11-03,2025-11,South,AM,246,192,54,811,6,45.0,43.3,4.1,78,44.7,60,16,4,9,23,2
20251103-S-PM,2025-11-03,2025-11,South,PM,265,228,37,923,11,45.0,41.0,2.4,94,49.15,35,21,8,7,0,1
20251104-N-AM,2025-11-04,2025-11,North,AM,303,273,30,865,5,52.5,50.0,1.7,43,49.75,10,10,4,6,5,5
20251104-N-PM,2025-11-04,2025-11,North,PM,276,253,23,777,5,52.5,49.4,2.7,62,47.6,0,7,5,5,2,4
20251104-S-AM,2025-11-04,2025-11,South,AM,246,221,25,929,4,45.0,39.8,2.9,73,44.2,10,14,3,5,1,2
20251104-S-PM,2025-11-04,2025-11,South,PM,207,187,20,661,3,45.0,40.7,2.2,77,38.75,60,8,2,7,1,2
20251105-N-AM,2025-11-05,2025-11,North,AM,254,238,16,636,8,52.5,51.4,2.6,33,41.4,20,4,8,2,1,1
20251105-N-PM,2025-11-05,2025-11,North,PM,304,287,17,984,8,52.5,50.1,3.3,54,51.0,0,2,5,5,4,1
20251105-S-AM,2025-11-05,2025-11,South,AM,309,266,43,1016,7,45.0,40.7,2.9,93,55.65,10,29,7,3,1,3
20251105-S-PM,2025-11-05,2025-11,South,PM,303,254,49,1040,9,45.0,41.0,2.2,135,58.95,10,33,9,3,1,3
20251106-N-AM,2025-11-06,2025-11,North,AM,247,240,7,829,7,52.5,50.8,3.4,49,41.95,20,0,1,4,1,1
20251106-N-PM,2025-11-06,2025-11,North,PM,271,262,9,942,10,52.5,49.3,2.5,51,45.75,0,2,2,3,1,1
20251106-S-AM,2025-11-06,2025-11,South,AM,220,203,17,765,3,45.0,43.1,1.7,64,39.4,20,5,3,5,3,1
20251106-S-PM,2025-11-06,2025-11,South,PM,245,215,30,994,5,45.0,41.2,3.3,90,45.75,0,13,5,10,0,2
20251107-N-AM,2025-11-07,2025-11,North,AM,327,299,28,936,5,52.5,48.0,4.1,82,57.25,0,16,4,4,1,3
20251107-N-PM,2025-11-07,2025-11,North,PM,300,274,26,1003,9,52.5,48.2,5.3,56,50.6,0,13,9,3,0,1
20251107-S-AM,2025-11-07,2025-11,South,AM,166,160,6,539,4,45.0,41.6,0.9,64,31.3,35,3,1,0,1,1
20251107-S-PM,2025-11-07,2025-11,South,PM,289,250,39,926,6,45.0,40.5,3.4,110,54.35,20,24,6,5,3,1
20251110-N-AM,2025-11-10,2025-11,North,AM,293,275,18,895,5,52.5,49.9,1.8,77,51.65,0,6,5,2,1,4
20251110-N-PM,2025-11-10,2025-11,North,PM,392,337,55,1420,12,52.5,48.7,3.7,95,68.3,35,38,9,7,0,1
20251110-S-AM,2025-11-10,2025-11,South,AM,276,251,25,860,10,45.0,43.0,1.8,80,49.4,0,16,3,1,4,1
20251110-S-PM,2025-11-10,2025-11,South,PM,223,195,28,875,6,45.0,42.1,5.2,104,43.85,60,11,6,6,3,2
20251111-N-AM,2025-11-11,2025-11,North,AM,243,206,37,1020,10,52.5,46.8,2.1,100,46.45,35,12,8,2,13,2
20251111-N-PM,2025-11-11,2025-11,North,PM,299,285,14,1004,6,52.5,51.4,0.8,48,49.65,0,4,2,5,2,1
20251111-S-AM,2025-11-11,2025-11,South,AM,280,236,44,934,8,45.0,39.6,0.9,97,51.7,0,31,7,4,2,0
20251111-S-PM,2025-11-11,2025-11,South,PM,227,209,18,761,6,45.0,40.7,3.8,99,43.95,0,8,6,1,0,3
20251112-N-AM,2025-11-12,2025-11,North,AM,219,208,11,736,3,52.5,51.2,4.6,52,38.05,35,0,2,3,2,4
20251112-N-PM,2025-11-12,2025-11,North,PM,245,238,7,817,4,52.5,50.9,4.4,41,40.85,0,2,2,1,1,1
20251112-S-AM,2025-11-12,2025-11,South,AM,306,243,63,1105,11,45.0,43.4,3.1,94,55.3,20,27,10,4,19,3
20251112-S-PM,2025-11-12,2025-11,South,PM,229,197,32,846,6,45.0,39.6,0.7,115,45.85,0,19,6,4,1,2
20251113-N-AM,2025-11-13,2025-11,North,AM,224,219,5,660,1,52.5,50.9,0.2,26,36.2,0,0,1,2,1,1
20251113-N-PM,2025-11-13,2025-11,North,PM,240,233,7,756,1,52.5,50.6,3.7,44,40.4,0,1,1,2,2,1
20251113-S-AM,2025-11-13,2025-11,South,AM,249,212,37,923,8,45.0,42.9,3.9,74,44.75,35,9,4,5,15,4
20251113-S-PM,2025-11-13,2025-11,South,PM,206,197,9,722,9,45.0,42.5,2.7,53,36.2,20,1,4,1,1,2
20251114-N-AM,2025-11-14,2025-11,North,AM,266,249,17,737,6,52.5,47.0,2.1,67,46.6,0,7,4,6,0,0
20251114-N-PM,2025-11-14,2025-11,North,PM,257,249,8,835,4,52.5,47.7,1.6,47,43.25,10,1,1,4,1,1
20251114-S-AM,2025-11-14,2025-11,South,AM,257,223,34,913,10,45.0,39.0,3.4,83,46.85,20,19,3,5,0,7
20251114-S-PM,2025-11-14,2025-11,South,PM,262,232,30,870,9,45.0,41.5,2.6,53,44.6,60,16,2,6,3,3
20251117-N-AM,2025-11-17,2025-11,North,AM,265,252,13,853,9,52.5,46.5,2.1,44,44.15,20,4,4,3,2,0
20251117-N-PM,2025-11-17,2025-11,North,PM,259,254,5,789,7,52.5,48.5,3.9,25,41.35,10,0,1,3,0,1
20251117-S-AM,2025-11-17,2025-11,South,AM,200,199,1,568,4,45.0,43.1,2.4,56,35.6,10,0,1,0,0,0
20251117-S-PM,2025-11-17,2025-11,South,PM,276,235,41,1056,12,45.0,39.6,5.7,119,53.3,35,21,8,2,6,4
20251118-N-AM,2025-11-18,2025-11,North,AM,300,270,30,925,5,52.5,47.3,2.1,93,54.3,0,17,5,3,1,4
20251118-N-PM,2025-11-18,2025-11,North,PM,296,249,47,1085,5,52.5,50.4,2.9,85,52.9,60,25,5,12,1,4
20251118-S-AM,2025-11-18,2025-11,South,AM,209,202,7,752,7,45.0,43.9,5.3,83,39.65,20,2,2,2,0,1
20251118-S-PM,2025-11-18,2025-11,South,PM,276,244,32,856,7,45.0,41.5,5.6,90,50.4,20,20,7,2,1,2
20251119-N-AM,2025-11-19,2025-11,North,AM,262,251,11,734,3,52.5,48.2,3.8,67,46.0,10,4,3,1,0,3
20251119-N-PM,2025-11-19,2025-11,North,PM,229,224,5,821,3,52.5,49.8,3.7,67,41.05,20,1,0,3,0,1
20251119-S-AM,2025-11-19,2025-11,South,AM,221,203,18,752,9,45.0,40.2,4.4,79,41.05,20,11,2,2,1,2
20251119-S-PM,2025-11-19,2025-11,South,PM,266,237,29,1001,6,45.0,39.3,2.7,77,47.6,20,20,4,3,0,2
20251120-N-AM,2025-11-20,2025-11,North,AM,258,250,8,834,6,52.5,50.3,4.7,24,41.1,20,2,2,2,0,2
20251120-N-PM,2025-11-20,2025-11,North,PM,260,256,4,590,5,52.5,48.4,2.8,23,41.3,0,0,0,2,1,1
20251120-S-AM,2025-11-20,2025-11,South,AM,290,245,45,1048,9,45.0,39.6,1.4,70,50.5,10,29,7,3,2,4
20251120-S-PM,2025-11-20,2025-11,South,PM,289,238,51,1020,9,45.0,42.9,1.2,109,54.25,35,37,7,5,1,1
20251121-N-AM,2025-11-21,2025-11,North,AM,264,250,14,826,6,52.5,48.1,2.4,50,44.6,0,4,6,4,0,0
20251121-N-PM,2025-11-21,2025-11,North,PM,243,237,6,741,8,52.5,50.5,3.9,42,40.65,10,2,0,2,1,1
20251121-S-AM,2025-11-21,2025-11,South,AM,305,256,49,1003,5,45.0,39.1,1.8,121,57.85,35,35,3,4,3,4
20251121-S-PM,2025-11-21,2025-11,South,PM,262,229,33,811,9,45.0,43.9,1.0,90,48.3,35,18,6,5,3,1
20251124-N-AM,2025-11-24,2025-11,North,AM,293,271,22,898,5,52.5,47.8,3.6,40,47.95,20,11,4,4,1,2
20251124-N-PM,2025-11-24,2025-11,North,PM,265,248,17,944,5,52.5,49.8,1.6,74,47.15,0,9,4,1,1,2
20251124-S-AM,2025-11-24,2025-11,South,AM,291,248,43,1118,8,45.0,39.8,3.8,113,54.95,0,32,3,3,2,3
